accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
-4.785645287483930588e-03,9.571290574967861176e-03,5.039284706115722656e+00,8.674286305904388428e-02,-3.909537568688392639e-02,-2.443460933864116669e-02
4.307080805301666260e-02,9.571290574967861176e-03,5.015356540679931641e+00,6.352998316287994385e-02,-9.407324343919754028e-02,-1.221730490215122700e-03
-4.785645380616188049e-02,4.785645287483930588e-03,4.948357582092285156e+00,-7.330382708460092545e-03,3.176499158143997192e-02,3.787364438176155090e-02
1.914258114993572235e-02,-9.571290574967861176e-03,5.067997932434082031e+00,-7.330382708460092545e-03,-7.330382708460092545e-03,7.330382708460092545e-03
-3.349952027201652527e-02,9.092725813388824463e-02,4.977071285247802734e+00,4.031710326671600342e-02,-4.642575979232788086e-02,-4.031710326671600342e-02
8.135597407817840576e-02,-2.871387079358100891e-02,5.053641796112060547e+00,2.443460933864116669e-02,4.642575979232788086e-02,7.330382708460092545e-03
-3.828516229987144470e-02,1.914258114993572235e-02,4.953143119812011719e+00,8.552113547921180725e-03,2.321287989616394043e-02,-8.552113547921180725e-03
2.871387079358100891e-02,3.349952027201652527e-02,4.934000015258789062e+00,2.443460933864116669e-02,-3.909537568688392639e-02,1.466076541692018509e-02
-2.871387079358100891e-02,-2.392822690308094025e-02,4.919643402099609375e+00,-7.330382708460092545e-03,-1.588249579071998596e-02,1.466076541692018509e-02
0.000000000000000000e+00,4.785645287483930588e-03,4.972285747528076172e+00,3.176499158143997192e-02,2.321287989616394043e-02,7.330382708460092545e-03
3.349952027201652527e-02,-2.392822690308094025e-02,5.053641796112060547e+00,3.176499158143997192e-02,-7.330382708460092545e-03,-1.588249579071998596e-02
0.000000000000000000e+00,3.828516229987144470e-02,4.938786029815673828e+00,-3.054326213896274567e-02,-7.330382708460092545e-03,2.199114859104156494e-02
-9.571290574967861176e-03,2.392822690308094025e-02,4.977071285247802734e+00,3.176499158143997192e-02,-1.588249579071998596e-02,-4.764748737215995789e-02
4.785645287483930588e-03,1.914258114993572235e-02,5.010571002960205078e+00,-7.330382708460092545e-03,-7.330382708460092545e-03,-5.497787147760391235e-02
-2.392822690308094025e-02,1.435693539679050446e-02,4.948357582092285156e+00,4.031710326671600342e-02,-2.321287989616394043e-02,3.787364438176155090e-02
0.000000000000000000e+00,3.828516229987144470e-02,4.929214954376220703e+00,-1.466076541692018509e-02,3.176499158143997192e-02,1.466076541692018509e-02
4.785645287483930588e-03,8.135597407817840576e-02,5.015356540679931641e+00,8.552113547921180725e-03,-3.176499158143997192e-02,-8.552113547921180725e-03
9.571290574967861176e-03,-2.392822690308094025e-02,5.039284706115722656e+00,-2.321287989616394043e-02,0.000000000000000000e+00,-3.176499158143997192e-02
9.571290574967861176e-03,5.264209583401679993e-02,4.938786029815673828e+00,7.819075137376785278e-02,-7.819075137376785278e-02,-5.497787147760391235e-02
5.742774158716201782e-02,0.000000000000000000e+00,4.991428375244140625e+00,3.176499158143997192e-02,0.000000000000000000e+00,1.466076541692018509e-02
3.828516229987144470e-02,-1.914258114993572235e-02,4.876572608947753906e+00,8.552113547921180725e-03,-7.330382708460092545e-03,-5.497787147760391235e-02
2.392822690308094025e-02,5.264209583401679993e-02,4.962714195251464844e+00,7.086036354303359985e-02,-7.330382708460092545e-03,3.054326213896274567e-02
-5.264209583401679993e-02,4.307080805301666260e-02,4.996213912963867188e+00,-7.330382708460092545e-03,-1.588249579071998596e-02,-5.497787147760391235e-02
2.392822690308094025e-02,-4.785645287483930588e-03,4.938786029815673828e+00,-2.321287989616394043e-02,4.642575979232788086e-02,7.696902006864547729e-02
1.435693539679050446e-02,6.699904054403305054e-02,4.981856822967529297e+00,2.443460933864116669e-02,-7.330382708460092545e-03,1.466076541692018509e-02
9.571290574967861176e-03,-1.435693539679050446e-02,5.020142078399658203e+00,4.764748737215995789e-02,-4.642575979232788086e-02,-2.443460933864116669e-02
-1.435693539679050446e-02,-1.435693539679050446e-02,4.977071285247802734e+00,2.443460933864116669e-02,-5.497787147760391235e-02,-1.588249579071998596e-02
6.699904054403305054e-02,0.000000000000000000e+00,4.934000015258789062e+00,1.588249579071998596e-02,-5.497787147760391235e-02,-3.176499158143997192e-02
4.307080805301666260e-02,4.307080805301666260e-02,4.957928180694580078e+00,-7.330382708460092545e-03,8.552113175392150879e-02,1.466076541692018509e-02
-8.614161610603332520e-02,-2.871387079358100891e-02,5.010571002960205078e+00,-5.375614017248153687e-02,-1.588249579071998596e-02,-8.552113547921180725e-03
-9.571290574967861176e-03,-2.871387079358100891e-02,4.996213912963867188e+00,8.552113547921180725e-03,7.330382708460092545e-03,-1.221730490215122700e-03
-1.914258114993572235e-02,-3.828516229987144470e-02,5.024927616119384766e+00,3.176499158143997192e-02,4.642575979232788086e-02,-2.443460933864116669e-02
-3.349952027201652527e-02,6.221338734030723572e-02,5.024927616119384766e+00,-4.642575979232788086e-02,3.176499158143997192e-02,7.330382708460092545e-03
0.000000000000000000e+00,-3.828516229987144470e-02,5.082355022430419922e+00,-1.466076541692018509e-02,-4.642575979232788086e-02,-1.588249579071998596e-02
-6.221338734030723572e-02,6.221338734030723572e-02,5.053641796112060547e+00,-1.466076541692018509e-02,-2.321287989616394043e-02,-8.552113547921180725e-03
-9.092725813388824463e-02,-7.178468257188796997e-02,4.986642360687255859e+00,-3.054326213896274567e-02,-3.176499158143997192e-02,4.520402848720550537e-02
4.785645287483930588e-03,2.392822690308094025e-02,4.972285747528076172e+00,-3.787364438176155090e-02,7.330382708460092545e-03,2.199114859104156494e-02
5.742774158716201782e-02,9.571290761232376099e-02,4.996213912963867188e+00,4.031710326671600342e-02,7.330382708460092545e-03,-1.221730490215122700e-03
5.264209583401679993e-02,-2.871387079358100891e-02,5.058426856994628906e+00,4.031710326671600342e-02,-3.909537568688392639e-02,-1.588249579071998596e-02
-4.307080805301666260e-02,-6.699904054403305054e-02,5.010571002960205078e+00,-1.466076541692018509e-02,-1.588249579071998596e-02,1.466076541692018509e-02
-2.392822690308094025e-02,-1.435693539679050446e-02,5.010571002960205078e+00,1.588249579071998596e-02,-3.909537568688392639e-02,-3.176499158143997192e-02
-9.571290574967861176e-03,-4.785645287483930588e-03,5.020142078399658203e+00,-1.466076541692018509e-02,2.321287989616394043e-02,-6.352998316287994385e-02
4.785645380616188049e-02,9.092725813388824463e-02,4.919643402099609375e+00,1.221730490215122700e-03,2.321287989616394043e-02,7.330382708460092545e-03
0.000000000000000000e+00,2.392822690308094025e-02,4.986642360687255859e+00,1.588249579071998596e-02,2.321287989616394043e-02,-2.443460933864116669e-02
-9.571290574967861176e-03,9.571290574967861176e-03,4.962714195251464844e+00,-2.321287989616394043e-02,-1.588249579071998596e-02,3.787364438176155090e-02
9.571290574967861176e-03,1.004985496401786804e-01,4.905286788940429688e+00,7.086036354303359985e-02,-6.230825558304786682e-02,1.466076541692018509e-02
-1.435693539679050446e-02,9.571290761232376099e-02,4.924429416656494141e+00,-3.054326213896274567e-02,0.000000000000000000e+00,3.054326213896274567e-02
7.178468257188796997e-02,6.221338734030723572e-02,4.929214954376220703e+00,-5.375614017248153687e-02,-1.588249579071998596e-02,-1.221730490215122700e-03
3.349952027201652527e-02,3.828516229987144470e-02,5.067997932434082031e+00,-1.466076541692018509e-02,2.321287989616394043e-02,-4.764748737215995789e-02
-5.742774158716201782e-02,3.828516229987144470e-02,4.962714195251464844e+00,3.176499158143997192e-02,-3.176499158143997192e-02,-8.552113547921180725e-03
9.571290574967861176e-03,0.000000000000000000e+00,4.991428375244140625e+00,1.588249579071998596e-02,7.330382708460092545e-03,-4.764748737215995789e-02
4.785645287483930588e-03,-1.435693539679050446e-02,5.063212871551513672e+00,8.552113547921180725e-03,7.330382708460092545e-03,-2.443460933864116669e-02
9.571290574967861176e-03,6.699904054403305054e-02,5.005784988403320312e+00,-2.321287989616394043e-02,0.000000000000000000e+00,-3.176499158143997192e-02
-1.435693539679050446e-02,-9.571290574967861176e-03,5.010571002960205078e+00,-7.330382708460092545e-03,0.000000000000000000e+00,-1.221730490215122700e-03
4.307080805301666260e-02,-9.571290574967861176e-03,5.010571002960205078e+00,-1.160643920302391052e-01,0.000000000000000000e+00,7.330382708460092545e-03
-9.571290574967861176e-03,4.785645287483930588e-03,4.953143119812011719e+00,3.176499158143997192e-02,-2.321287989616394043e-02,-1.221730490215122700e-03
5.264209583401679993e-02,2.871387079358100891e-02,5.096712589263916016e+00,3.176499158143997192e-02,-3.176499158143997192e-02,-4.764748737215995789e-02
-2.392822690308094025e-02,0.000000000000000000e+00,4.972285747528076172e+00,1.588249579071998596e-02,-3.909537568688392639e-02,2.199114859104156494e-02
1.435693539679050446e-02,4.307080805301666260e-02,4.948357582092285156e+00,2.443460933864116669e-02,-6.230825558304786682e-02,-5.497787147760391235e-02
-1.914258114993572235e-02,-1.435693539679050446e-02,5.039284706115722656e+00,-7.330382708460092545e-03,1.588249579071998596e-02,-3.176499158143997192e-02
2.871387079358100891e-02,-1.914258114993572235e-02,4.962714195251464844e+00,4.764748737215995789e-02,-4.642575979232788086e-02,-1.221730490215122700e-03
2.392822690308094025e-02,-9.571290574967861176e-03,5.005784988403320312e+00,3.176499158143997192e-02,-6.230825558304786682e-02,-2.443460933864116669e-02
-9.571290574967861176e-03,5.742774158716201782e-02,4.957928180694580078e+00,2.443460933864116669e-02,-3.909537568688392639e-02,-7.819075137376785278e-02
2.871387079358100891e-02,1.435693539679050446e-02,4.977071285247802734e+00,2.443460933864116669e-02,3.909537568688392639e-02,1.466076541692018509e-02
-4.307080805301666260e-02,-2.871387079358100891e-02,4.962714195251464844e+00,7.086036354303359985e-02,-3.909537568688392639e-02,-6.352998316287994385e-02
-1.435693539679050446e-02,-2.871387079358100891e-02,4.929214954376220703e+00,2.443460933864116669e-02,-2.321287989616394043e-02,-4.031710326671600342e-02
4.785645380616188049e-02,-1.914258114993572235e-02,4.981856822967529297e+00,-7.330382708460092545e-03,7.330382708460092545e-03,-1.588249579071998596e-02
6.699904054403305054e-02,9.571290761232376099e-02,4.996213912963867188e+00,1.221730490215122700e-03,3.176499158143997192e-02,3.787364438176155090e-02
9.571290574967861176e-03,8.614161610603332520e-02,4.905286788940429688e+00,3.176499158143997192e-02,-2.321287989616394043e-02,-1.588249579071998596e-02
4.785645287483930588e-03,-2.392822690308094025e-02,5.029713153839111328e+00,-7.330382708460092545e-03,5.497787147760391235e-02,-1.221730490215122700e-03
-2.871387079358100891e-02,3.349952027201652527e-02,4.981856822967529297e+00,1.588249579071998596e-02,0.000000000000000000e+00,1.466076541692018509e-02
3.828516229987144470e-02,8.135597407817840576e-02,4.929214954376220703e+00,1.588249579071998596e-02,-1.588249579071998596e-02,-8.552113547921180725e-03
8.135597407817840576e-02,-3.349952027201652527e-02,4.905286788940429688e+00,-1.466076541692018509e-02,-4.642575979232788086e-02,-8.552113547921180725e-03
4.307080805301666260e-02,-4.785645287483930588e-03,5.029713153839111328e+00,3.909537568688392639e-02,-1.588249579071998596e-02,2.199114859104156494e-02
